planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,srad,smass,pmass0,pmass1,pmass2,pmass3,chi2
3.4321332453838443e-06,45.15347720588295,0.03319035602072959,90.0,-129.13660563649714,3.531125038440126e-31,-171.18961178486668,1.3125659982744896e-05,85.31382366148442,0.03900433108401386,90.0,-31.451733547534744,-1.765562519220063e-31,-114.55094555683418,1.8862098947597847e-05,130.1852526121121,0.02739666882174799,90.0,-33.55874853162268,7.062250076880254e-31,-36.77907118585199,7.69177887452738e-05,1516.7059302911828,0.641772547879158,90.0,-156.63903098885817,3.531125038440126e-31,-46.8552672322728,1.0,4,0.0040459089,1.0,3.4321332453838443e-06,1.3125659982744896e-05,1.8862098947597847e-05,7.69177887452738e-05,53.99962144158334
3.4078433240007253e-06,45.153690802823846,0.032563968330026415,90.0,-133.97279567404206,0.0,-166.16514047735694,1.3362867113412943e-05,85.31342739618717,0.022765358006724766,90.0,-32.48865062795184,-1.7655625192200639e-31,-111.85840289261102,2.1653259468886763e-05,130.18734932184796,0.013382942785956906,90.0,-36.248131034340375,3.531125038440127e-31,-32.68466100393743,5.7576613916728135e-05,1024.4064965248403,0.5575065174489968,90.0,-132.6892345341868,3.531125038440127e-31,-107.83814092231894,1.0,4,0.0040459089,1.0,3.4078433240007253e-06,1.3362867113412943e-05,2.1653259468886763e-05,5.7576613916728135e-05,55.42480979983175
3.6768350622367796e-06,45.153684965518735,0.032034531700979724,90.0,-134.65394161110677,3.531125038440127e-31,-165.4964063532143,1.3393117536476503e-05,85.31357888338378,0.022388226775634738,90.0,-29.595952663927886,1.7655625192200634e-31,-114.77920224901037,2.1584827699570075e-05,130.1874836271549,0.013022900765258524,90.0,-32.35014402452872,1.7655625192200634e-31,-36.60571224765443,5.895743161099848e-05,1024.3788915968742,0.5563647634306017,90.0,-129.89863054183462,-7.062250076880254e-31,-108.22493669317254,1.0,4,0.0040459089,1.0,3.6768350622367796e-06,1.3393117536476503e-05,2.1584827699570075e-05,5.895743161099848e-05,55.42673500890327
3.2413354530973575e-06,45.15363778535649,0.03119931206119958,90.0,-135.40140301977138,7.0622500768802555e-31,-164.78561006561503,1.3420512138528633e-05,85.31346887030611,0.023920375763828286,90.0,-24.58233712051852,-5.296687557660191e-31,-120.05501624656047,2.1620512349037687e-05,130.18731837094512,0.01418617639331944,90.0,-25.275741389554327,0.0,-43.889514110496705,5.793123687029969e-05,1024.3597610035847,0.5581143950064581,90.0,-124.53136238953999,0.0,-108.94616212547503,1.0,4,0.0040459089,1.0,3.2413354530973575e-06,1.3420512138528633e-05,2.1620512349037687e-05,5.793123687029969e-05,55.43731854289803
3.95647240787045e-06,45.15366581768117,0.03195505536609142,90.0,-134.4108598152647,-3.5311250384401278e-31,-165.7571480719211,1.3369531281255826e-05,85.31380909847243,0.023521731852137916,90.0,-28.8551742408416,1.7655625192200634e-31,-115.65055870193567,2.1580814722476864e-05,130.1875872839027,0.013880402232208676,90.0,-31.275876398345098,0.0,-37.779418455276094,6.0842310445776526e-05,1024.3884669759755,0.5558674026696303,90.0,-125.56967630604622,0.0,-108.76896753469245,1.0,4,0.0040459089,1.0,3.95647240787045e-06,1.3369531281255826e-05,2.1580814722476864e-05,6.0842310445776526e-05,55.44367399326957
3.954169036150012e-06,45.15364769094565,0.03147614836142104,90.0,-134.86494224724356,-7.062250076880252e-31,-165.32248613100927,1.3393798797126965e-05,85.31385420454833,0.023971000857978788,90.0,-26.31210226255413,-1.7655625192200634e-31,-118.29449201518437,2.1577960844484706e-05,130.18759094838302,0.01420302785405789,90.0,-27.736595385559756,1.7655625192200626e-31,-41.39956239661744,6.058049478287542e-05,1024.3703096317251,0.5564140536713355,90.0,-123.0976294432884,-3.5311250384401278e-31,-109.10868239409025,1.0,4,0.0040459089,1.0,3.954169036150012e-06,1.3393798797126965e-05,2.1577960844484706e-05,6.058049478287542e-05,55.47949601213888
3.3942325485865597e-06,45.15362604655785,0.031072595927928916,90.0,-135.23955271931,0.0,-164.96520706866897,1.3408410599001962e-05,85.31360147946756,0.024576493598326046,90.0,-23.93606678435688,1.765562519220063e-31,-120.78284156387994,2.1653675934660573e-05,130.18741239038826,0.014668965427839825,90.0,-24.409613166138584,3.5311250384401278e-31,-44.81649511237959,6.110858878089708e-05,1024.3432652681554,0.5564955706263756,90.0,-120.04668992576372,3.531125038440126e-31,-109.53824570156603,1.0,4,0.0040459089,1.0,3.3942325485865597e-06,1.3408410599001962e-05,2.1653675934660573e-05,6.110858878089708e-05,55.504385575362996
3.6698848566358777e-06,45.153608280408996,0.030681102221707987,90.0,-135.63986142831928,7.0622500768802555e-31,-164.5805895165229,1.3431605613501914e-05,85.31379630065453,0.02517518562671733,90.0,-22.21282903209003,-1.7655625192200643e-31,-122.60184468153133,2.163521811218667e-05,130.18748449338983,0.015137478415210652,90.0,-22.088824233102176,0.0,-47.213810090468364,5.997124121501534e-05,1024.3499172922538,0.5576707370845311,90.0,-118.46627531989502,0.0,-109.73356172473142,1.0,4,0.0040459089,1.0,3.6698848566358777e-06,1.3431605613501914e-05,2.163521811218667e-05,5.997124121501534e-05,55.565680300310476
4.0687590489218094e-06,45.153610546423415,0.03054219844546644,90.0,-135.7205161078598,0.0,-164.5082408366261,1.3444897765718329e-05,85.31400303315748,0.02514483750252232,90.0,-21.94374235379676,5.29668755766019e-31,-122.87184076534,2.1575736442810698e-05,130.18759987041068,0.015121632644214449,90.0,-21.785740972670517,0.0,-47.518575641321455,5.878096420428483e-05,1024.380070394836,0.5582900321403873,90.0,-119.12998339684493,0.0,-109.61401417931265,1.0,4,0.0040459089,1.0,4.0687590489218094e-06,1.3444897765718329e-05,2.1575736442810698e-05,5.878096420428483e-05,55.590600310079516
3.241351172505951e-06,45.1536891148879,0.03166556580853241,90.0,-134.80315226953928,0.0,-165.37126063533785,1.3530850494355416e-05,85.31323643452185,0.022549170204917045,90.0,-31.08465194461169,5.29668755766019e-31,-113.27536580459409,2.1552561424623848e-05,130.18713912074892,0.013312813809191394,90.0,-34.10295387626378,-3.531125038440127e-31,-34.85627827400626,4.61132536483745e-05,1024.5049193724565,0.5652144185420106,90.0,-145.72278085012576,3.531125038440127e-31,-106.07425758435774,1.0,4,0.0040459089,1.0,3.241351172505951e-06,1.3530850494355416e-05,2.1552561424623848e-05,4.61132536483745e-05,55.882254714136344
3.915071218812817e-06,45.1537330802396,0.03220268859927781,90.0,-134.46714149977228,7.062250076880254e-31,-165.6777898813495,1.3526511619616785e-05,85.3134771521381,0.020948727346187447,90.0,-35.15061791670361,-3.5311250384401278e-31,-108.95698562076328,2.1392567895572047e-05,130.18738053796525,0.012137303508206635,90.0,-40.20509611722054,0.0,-28.55229063061372,4.680117904027484e-05,1024.5619913485577,0.5632986810361621,90.0,-150.2828039187024,0.0,-105.41105035223956,1.0,4,0.0040459089,1.0,3.915071218812817e-06,1.3526511619616785e-05,2.1392567895572047e-05,4.680117904027484e-05,56.246907842987994
