planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,srad,smass,pmass0,pmass1,pmass2,pmass3,chi2
4.980125096888317e-06,45.153422158463385,0.04046595467974766,90.0,-120.75901366934522,0.0,-179.5778499481786,1.2557451196817047e-05,85.31682058058036,0.0596232333989672,90.0,-46.401807562220064,0.0,-100.56519524677765,1.8527037403454192e-05,130.18753411480284,0.04407796400277278,90.0,-49.8617460085444,-3.531125038440127e-31,-21.166246319458875,4.607715854858334e-05,1009.4012059557477,0.6068201411109659,90.0,77.09127427313183,2.648343778830096e-31,-146.07118240354748,1.0,4,0.0040459089,1.0,4.980125096888317e-06,1.2557451196817047e-05,1.8527037403454192e-05,4.607715854858334e-05,60.93825675202536
6.966450780443895e-06,45.153960575183184,0.01943100317096823,90.0,-116.50632316648463,-1.7655625192200639e-31,174.74067535004045,1.946928432637786e-05,85.31359278731908,0.0645629703023496,90.0,-58.56306758736704,3.531125038440127e-31,-87.58603531129293,2.1426774240740352e-05,130.18925547724314,0.04849390162818457,90.0,-58.948866796512995,-5.29668755766019e-31,-11.70247556080974,1.2037780661052834e-05,256.35708462563565,0.09783616448203268,90.0,-67.19428918524137,-1.7655625192200639e-31,-25.845045158275024,1.0,4,0.0040459089,1.0,6.966450780443895e-06,1.946928432637786e-05,2.1426774240740352e-05,1.2037780661052834e-05,61.293125459627404
7.520904736990011e-06,45.15388051212898,0.022425141416066094,90.0,-113.29773066735297,3.5311250384401278e-31,171.55801734141085,1.8383078440404478e-05,85.31435112608185,0.06998307468059578,90.0,-57.11226826839084,-3.531125038440126e-31,-89.5634568032795,2.047312989832658e-05,130.190441337085,0.05284334043831958,90.0,-57.770888580410336,1.7655625192200639e-31,-13.261777422115935,1.0737485729963056e-05,256.53027679748817,0.10401703963786532,90.0,-64.7545359665479,0.0,-23.5102729492783,1.0,4,0.0040459089,1.0,7.520904736990011e-06,1.8383078440404478e-05,2.047312989832658e-05,1.0737485729963056e-05,61.29356846713878
7.723639467330888e-06,45.15409665693031,0.018474217227778877,90.0,-120.4538071564836,1.7655625192200639e-31,178.7667278649111,2.0096075641273808e-05,85.31342728687126,0.0590504137041621,90.0,-62.62252509453663,1.7655625192200639e-31,-82.74288886599973,2.1380792048339494e-05,130.1886047070846,0.044256382577389106,90.0,-63.35519163706563,0.0,-6.682819859482435,1.3270447633003333e-05,256.2949297133275,0.08983149983119322,90.0,-72.32671997662963,3.531125038440126e-31,-25.946540062008847,1.0,4,0.0040459089,1.0,7.723639467330888e-06,2.0096075641273808e-05,2.1380792048339494e-05,1.3270447633003333e-05,61.73392894259144
6.958416680324827e-06,45.15346046194848,0.035162826367178684,90.0,-128.62048072828918,0.0,-171.5851642180337,1.3028145983989142e-05,85.31343716328088,0.03684395627060346,90.0,-35.624359381057154,0.0,-110.00050219557647,1.7535002047796876e-05,130.18587868788376,0.02620730870117385,90.0,-43.674734074634436,-3.531125038440127e-31,-26.2167715410732,3.056540072450942e-05,652.8616393343341,0.5312104494448923,90.0,-138.25516369460945,-3.531125038440126e-31,-18.978714165175898,1.0,4,0.0040459089,1.0,6.958416680324827e-06,1.3028145983989142e-05,1.7535002047796876e-05,3.056540072450942e-05,61.94701732420539
6.908221292205485e-06,45.1541478373013,0.01863586912736427,90.0,-121.67590806327267,3.531125038440127e-31,-179.9624176449342,2.0169803696118374e-05,85.31305313182905,0.05730800621739226,90.0,-64.56141643858612,1.7655625192200634e-31,-80.50109738426069,2.1024086554129082e-05,130.18798534558763,0.04296358238377407,90.0,-65.55090453986986,3.531125038440127e-31,-4.242886768299364,1.3635423287280678e-05,256.28089524648715,0.08692171461741735,90.0,-74.59368261738535,0.0,-25.819829638555415,1.0,4,0.0040459089,1.0,6.908221292205485e-06,2.0169803696118374e-05,2.1024086554129082e-05,1.3635423287280678e-05,62.06678345477481
7.462311167442902e-06,45.15366777336338,0.022111316357936867,90.0,-113.59611191458703,1.7655625192200643e-31,171.85335904959888,1.7896424504164753e-05,85.31489476421042,0.070369254494584,90.0,-52.35604346129047,0.0,-94.90115135600992,1.9995234482932048e-05,130.19208716806708,0.05299744443357458,90.0,-52.8555893378767,3.531125038440126e-31,-18.62056152463729,1.0762583374670323e-05,256.6747543781408,0.10482815803492204,90.0,-58.94821588515377,0.0,-23.288118271533143,1.0,4,0.0040459089,1.0,7.462311167442902e-06,1.7896424504164753e-05,1.9995234482932048e-05,1.0762583374670323e-05,62.34528356212802
6.117658949937428e-06,45.15363249697805,0.02401837566181128,90.0,-144.8143689899461,-3.531125038440126e-31,-155.68979268954027,1.4025274217674193e-05,85.31499666638896,0.025586950258454453,90.0,3.4922852735230756,2.6483437788300956e-31,-148.5333595233893,1.765396893229684e-05,130.18863132113037,0.015534279633923473,90.0,-0.7109161297207021,-1.1034765745125402e-32,-68.75640108046446,3.818838312745204e-05,1039.2914359212787,0.6383704431841277,90.0,-121.29349299844614,-1.765562519220063e-31,174.7947652095275,1.0,4,0.0040459089,1.0,6.117658949937428e-06,1.4025274217674193e-05,1.765396893229684e-05,3.818838312745204e-05,62.593258408273876
6.067376350654389e-06,45.15362524824112,0.024093466970550155,90.0,-145.33031613229454,3.5311250384401278e-31,-155.15244685954517,1.4011333078267165e-05,85.3150425302756,0.02587592919546472,90.0,5.087436643233009,1.7655625192200634e-31,-150.15298431391477,1.736488191168609e-05,130.18860000960697,0.015698989932686137,90.0,1.3947271852945136,-1.9862578341225716e-31,-70.8797348043621,3.9726435054938295e-05,1039.2328686047886,0.6338155398669842,90.0,-122.95649010465462,3.5311250384401278e-31,174.8595525228838,1.0,4,0.0040459089,1.0,6.067376350654389e-06,1.4011333078267165e-05,1.736488191168609e-05,3.9726435054938295e-05,62.79122823584681
6.072605688088236e-06,45.15320085375986,0.038802427556265964,90.0,-121.80446737726835,-1.7655625192200634e-31,-178.56483594755898,1.2002035466330052e-05,85.31711414695914,0.06424611551309722,90.0,-37.5472001789043,-3.531125038440127e-31,-110.57420318900797,1.3694404757535392e-05,130.18715428996444,0.048413793938171114,90.0,-43.26375745487503,3.531125038440126e-31,-28.56849444192564,0.00024147469013775468,844.799453980179,0.47973389613823547,90.0,-84.24593125813182,2.2069531490250793e-31,152.00249441367254,1.0,4,0.0040459089,1.0,6.072605688088236e-06,1.2002035466330052e-05,1.3694404757535392e-05,0.00024147469013775468,62.96031940625535
